2023-03-05 17:53:30,116 INFO    MainThread:249151 [wandb_setup.py:_flush():68] Configure stats pid to 249151
2023-03-05 17:53:30,117 INFO    MainThread:249151 [wandb_setup.py:_flush():68] Loading settings from /home/daviddu/.config/wandb/settings
2023-03-05 17:53:30,117 INFO    MainThread:249151 [wandb_setup.py:_flush():68] Loading settings from /home/daviddu/Documents/EC_C147/MBTIPredictor/wandb/settings
2023-03-05 17:53:30,117 INFO    MainThread:249151 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-03-05 17:53:30,117 INFO    MainThread:249151 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'train_bert_mlm.py', 'program': '/home/daviddu/Documents/EC_C147/MBTIPredictor/train_bert_mlm.py'}
2023-03-05 17:53:30,117 INFO    MainThread:249151 [wandb_init.py:_log_setup():492] Logging user logs to /home/daviddu/Documents/EC_C147/MBTIPredictor/wandb/run-20230305_175330-vpdrkdzv/logs/debug.log
2023-03-05 17:53:30,117 INFO    MainThread:249151 [wandb_init.py:_log_setup():493] Logging internal logs to /home/daviddu/Documents/EC_C147/MBTIPredictor/wandb/run-20230305_175330-vpdrkdzv/logs/debug-internal.log
2023-03-05 17:53:30,117 INFO    MainThread:249151 [wandb_init.py:init():532] calling init triggers
2023-03-05 17:53:30,117 INFO    MainThread:249151 [wandb_init.py:init():538] wandb.init called with sweep_config: {}
config: {}
2023-03-05 17:53:30,118 INFO    MainThread:249151 [wandb_init.py:init():588] starting backend
2023-03-05 17:53:30,118 INFO    MainThread:249151 [wandb_init.py:init():592] setting up manager
2023-03-05 17:53:30,127 INFO    MainThread:249151 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-03-05 17:53:30,133 INFO    MainThread:249151 [wandb_init.py:init():599] backend started and connected
2023-03-05 17:53:30,140 INFO    MainThread:249151 [wandb_init.py:init():687] updated telemetry
2023-03-05 17:53:30,146 INFO    MainThread:249151 [wandb_init.py:init():727] communicating run to backend with 60.0 second timeout
2023-03-05 17:53:30,413 INFO    MainThread:249151 [wandb_run.py:_on_init():2134] communicating current version
2023-03-05 17:53:30,479 INFO    MainThread:249151 [wandb_run.py:_on_init():2143] got version response 
2023-03-05 17:53:30,479 INFO    MainThread:249151 [wandb_init.py:init():775] starting run threads in backend
2023-03-05 17:53:35,814 INFO    MainThread:249151 [wandb_run.py:_console_start():2114] atexit reg
2023-03-05 17:53:35,814 INFO    MainThread:249151 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-03-05 17:53:35,814 INFO    MainThread:249151 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-03-05 17:53:35,815 INFO    MainThread:249151 [wandb_run.py:_redirect():2059] Redirects installed.
2023-03-05 17:53:35,815 INFO    MainThread:249151 [wandb_init.py:init():817] run started, returning control to user process
